Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,ALB,,,,,,,890586,331029,1070170,5159274,2248485,2311588,2597966,3935315,5455107,4243797,8127945,13097660,6651984,9787137
Algeria,DZA,,,4249392,5658657,1883421,1666484,2436922,4595865,2298155,15175635,21102854,3345083,6416637,11730529,6719801,9036734,10642629,6538204,8367587,4422891
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,3946570,5608026,8292011,6824326,3516563,4120611,10208452,9559235,16457484,27547839,25545318,15773918,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,20012,1813,,,,,22896,,1208,,
Argentina,ARG,,,229580780,240170654,220816118,246455311,358819060,404616451,502994288,573988285,776213869,773372371,582889162,692316066,749048928,808771189,1028607621,1143719866,1949786938,1548023792
Armenia,ARM,,,,,,,,6265111,,2917776,3812934,5960655,4083340,4596830,4830324,3359504,5146742,9241732,11464433,6633120
Aruba,ABW,,,,,,,,,,,8931420,351414,213017,351945,271106,391181,72627,66058,147595,1046649
Australia,AUS,687984938,883953912,963424450,1149407090,1681260803,1791194058,1902321049,1905529827,1543360914,1597941079,2734150880,2666411845,2944851046,2760305084,3127502875,3276386185,3370722005,3540854818,4154151622,3549968469
Austria,AUT,2861127545,3123549375,3376094123,3159123586,4055425106,4360387796,4391723501,5294568791,5730515535,6193580219,7185707375,7517037019,9348916745,11223759539,14521683722,12815905586,14048724899,14565590792,15230243362,12096525549
Azerbaijan,AZE,,,,,,,2796008,5075471,10840016,7340802,6040917,9073702,9971908,7957854,7803488,4672863,8226560,15449694,6319811,6067427
"Bahamas, The",BHS,,,,,,,,0,8059253,1340703,7208849,586422,2312792,0,0,650,727016,300,0,76
Bahrain,BHR,,,,,4916698,1415994,9644702,,,,198654,61808,46897,704450,440327,406818,311675,486415,,
Bangladesh,BGD,1510206,413349,1005180,339789,1335012,928701,1810930,265612,3496723,,9762096,4429438,4127381,13585777,21030695,15857305,17652158,96931490,,
Barbados,BRB,,,14778484,16173617,16415346,18243520,16608087,19935914,23291051,27142618,22321372,19039276,12447975,12356778,12008078,19616819,23851462,12897421,5169080,11254865
Belarus,BLR,,,,,,,,,226081102,153101315,179554200,200245300,211759100,223172100,214674800,215928300,267941200,345551000,404906300,314541500
Belgium,BEL,,,,,,,,,,12905297814,14197434158,15735626645,14700535131,17326365110,19579693206,22808852285,22644245332,25177851511,29162522223,29676410589
Belize,BLZ,,,0,0,250,0,0,0,509,914743,4,166,90,12170,62,2400,685987,9617,4424,
Benin,BEN,,,,,,,,,15305,148538,14093,25363,293536,21078,14905,24452,50973,,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,398,,,,,,,5332666,,,8791,439945
Bolivia,BOL,,,6452953,5368900,10911312,27026262,66465001,14843551,168718061,294638932,157921786,37665482,14627351,20886243,27794521,27118810,96362534,15409694,17442441,14815916
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,18697283,28864707,49084340,62464012,76299538,125075493,75500601
Botswana,BWA,,,,,,,,,,,12326567,5638094,11322315,14643611,12259310,15232814,14844429,15986264,20857470,24235484
Brazil,BRA,1156212032,982885881,1099694745,942478360,1137142771,1197242548,1545233661,2060363197,2544221942,3343030733,5938324782,6015318845,5350790807,4516893061,5951965332,8027543002,8425690121,9140083250,10571524465,8315951268
Brunei Darussalam,BRN,,,,,39322,,,12323555,22214319,,,53,321,977,,,16127782,,,
Bulgaria,BGR,,,,,,,110262641,109951425,74833393,64095597,75792250,85099054,142737127,213384608,247089392,325542521,486370757,618321122,755648377,713797227
Burkina Faso,BFA,,,,,,172431,442201,2476640,1139541,1463685,1023259,2065138,648861,1276684,2392452,5703709,,,,256043
Burundi,BDI,,,,2177,29968,3703,,,2358,392,57,7034,107315,250949,119123,154571,20352,1224838,1126239,1996065
Cambodia,KHM,,,,,,,,,,,1095932,937692,3435646,7240308,4264286,,,,3851488,
Cameroon,CMR,5545643,,,,,3202318,2467718,1553224,,,818045,857581,979982,3300575,1730615,1639386,2937741,,,
Canada,CAN,10059250709,11759297866,11852124577,12358230119,14329801977,17839821055,19793874517,20880998404,21711730515,23614456054,32701596530,26764288570,22729258221,23166568805,22048338642,25482020670,26987194327,29592364451,29385103930,25079579806
Cape Verde,CPV,,,,,,,,0,393210,578892,81365,86560,2969,,,297,0,0,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,,,,1484660,772728,291116,7157008,149964,182798,102084,40738,473089,15634,26884,41334,19255,,,,
Chad,TCD,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,
Chile,CHL,43310764,22454615,31017465,35628299,40762869,69929576,81735074,84200025,92344292,83496578,100052906,107498528,111354729,115355553,208878084,339032174,399534822,451637474,510376977,265635094
China,CHN,,,4086059748,5060073942,8444335356,13175048515,15294803789,19788048994,24195401151,28848967925,40836758856,48494321318,68181619308,1.07543E+11,1.61603E+11,2.14246E+11,2.7117E+11,3.37006E+11,3.81345E+11,3.48295E+11
Colombia,COL,,125187808,150248431,153876297,160531790,231252369,243271758,281494552,302671913,287020766,327797360,345832291,318521983,292269887,346746935,361676615,348936313,338490027,444862160,466118438
Comoros,COM,,,,,,20015,1873,92808,15279,,3051,6228,3156,36458,182,361,2174,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,,,,1173236,3147005,3749155,,,,,,,,,,,,,,
Costa Rica,CRI,,,,,33574527,41253820,28790292,219113442,1187196875,2704978138,1856481287,1070358474,1145938833,1699857254,1307846313,1774607591,2088446295,2529534755,2378076641,1682054607
Cote d'Ivoire,CIV,,,,,,4749301,3354573,38310540,33193040,64951289,10568417,20277835,26678676,92599221,597753017,610442565,520743259,459717971,180278337,186835497
Croatia,HRV,,,166612061,132356771,157848530,200767441,242701060,279802461,265592708,263263061,272193936,348889159,432851803,543281438,758521057,689365830,691165453,768910526,898176042,756119737
Cuba,CUB,,,,,,,,,,34383597,32356780,48911218,64587869,54982770,59264309,113319568,247938379,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,17390190,15491736,15174703,9807932,11136797,13547458,15707074,9358242,9710835,8515190,5050420,5799310,5199615,9524332,22498738,43451463,62391438,94819765,122636024,109380753
Czech Republic,CZE,,,,328003487,401240379,884722205,1261547995,1415861926,1969337278,1967152312,2088766701,2872022368,5622144773,5800004257,7662165518,8794612915,11897395755,15410251016,18200020474,15200299703
Denmark,DNK,3180292289,3122413437,3497107583,3126779671,3872237787,4431462887,4684691408,5459408069,5461970045,6298063167,6513137495,6648636615,8023539695,8402289265,9678932604,11835148511,11195634440,11128130524,11485891703,10742868961
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,1328289
Dominica,DMA,,,,271375,143869,348726,619511,1492000,,1209213,1873565,1510276,1606816,1634465,1752442,1673309,1815465,1196357,77477,
Dominican Republic,DOM,,,,,,,826282,1234623,,,,3608000,203508601,186880256,195223905,415949890,289334210,708267631,314865083,176530613
Ecuador,ECU,201282,653377,4061869,7551743,10433669,19877937,18292629,20083185,19617496,24990091,26755877,25300089,34480368,41039761,48677608,64110629,96137447,72837611,71409717,51243816
"Egypt, Arab Rep.",EGY,,,,,4647630,5974046,5449246,3244471,2330347,3122506,5203926,12111541,12595829,10235263,15457733,9350203,15387371,4882908,94809981,
El Salvador,SLV,,,,,25491902,28782747,33278277,39969889,44834684,37852112,20503905,29038435,38161551,35227457,33493417,115959899,125754637,138778534,145915328,135873291
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,0,243,49,103950,,,,,,
Estonia,EST,,,,,,73666892,124028469,173640323,255373611,272893887,1014791105,891601882,609890721,857245942,1162030226,1454977380,1299181492,875138148,954833281,655609530
Ethiopia,ETH,,,,,,149657,,179832,79636,56864,58734,71147,74419,124423,3396516,574738,723004,4308929,8106588,7172272
Faeroe Islands,FRO,16409,22194,,102287,170223,,12623,89799,155837,81567,38295,70646,10941,53616,59464,56156,202349,137077,6422756,346410
Fiji,FJI,15236252,1007310,12211449,796661,1366015,,,,,,771553,4992854,2335724,2499120,2561167,4389631,2757126,6372801,9764588,4858148
Finland,FIN,1672716940,1366307689,1802383138,2160531778,3188424669,4950124881,5506322430,6541183362,8141654092,8502763028,10542491304,8897123868,9139343303,10485114422,10624965662,14489035937,14106624442,15564867321,16663688131,8599220277
France,FRA,25965802319,30180261219,32498287054,29790307675,33535784047,42025187614,41509091541,47191097279,53821727830,54688289894,58040089418,54855455170,52581869827,56340737777,65346336939,69661891592,80525057959,80464533592,93209237841,83826519243
French Polynesia,PYF,,,,,,,32689008,32301684,43962954,31168116,23283564,21745415,3131489,3924950,18303749,23255245,18333915,3159643,28062857,10798345
Gabon,GAB,,,,16451608,8862906,,16592489,18601281,40874322,44825219,3833256,1912628,5379437,3673043,28201044,20302616,71381849,,,
"Gambia, The",GMB,,,,,,408414,104996,65725,186063,30381,84942,20288,20254,36342,28037,60186,23943,30272,417705,291482
Georgia,GEO,,,,,,,1248616,2459069,3506792,26327256,10929631,39869599,46952435,31069029,89136911,75167405,64918912,39386993,20753312,
Germany,DEU,39212370256,43224584296,44758419832,39785957248,46436200776,57079464416,57422691267,60638308912,68437815552,74124489157,82710655000,87937620000,90668789000,1.02869E+11,1.31838E+11,1.42454E+11,1.59012E+11,1.55922E+11,1.62421E+11,1.42449E+11
Ghana,GHA,,,1179920,,,,786405,416508,848174,32333825,3001263,4678898,,7807550,17646669,1426943,1373476,4531365,5738857,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,
Greece,GRC,96374114,110111183,92150831,155210234,168852185,310580233,331372858,316023911,469788162,546725228,722085073,528628586,663633119,961198775,1032080834,994177451,1139096203,1004835080,1380209419,1212421234
Greenland,GRL,625952,490178,606976,677004,415205,395904,1438019,4722100,398389,430539,1308244,648265,7630117,1302731,401434,889857,2299368,822909,,
Grenada,GRD,,,,140077,12470,0,0,162774,5929720,2302,13716420,7828899,667824,45344,21857,4711,1178,7455735,1372304,
Guam,GUM,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,,25929597,34036000,50926867,56722963,64061675,60313931,70844546,68331078,69787470,52483051,78370735,88095081,98452013,34752298,119176697,149641759,141185219
Guinea,GIN,,,,,,155815,85455,64674,71532,6790,122908,419478,958,,262717,182707,25653,246033,380065,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,4296,,,,,
Guyana,GUY,,,,,,,,928000,913000,768823,1179121,1021197,5280967,598078,439022,147376,258320,281671,70722,52914
Haiti,HTI,20159068,21926051,2016328,1529422,221436,344466,1904497,1804714,,,,,,,,,,,,
Honduras,HND,,,,1206525,1705803,1657510,9950033,5041482,8203043,10455381,544357,302763,4207649,2275895,3791029,17292324,6615368,8229672,,7260889
"Hong Kong SAR, China",HKG,,,4679750173,4553053443,4919436600,5717024971,4924470615,5335548780,4818326746,4370418906,5154894805,3692356841,2688049685,1845809798,2139433845,2510711039,1788343456,2369754239,2163571565,1849083266
Hungary,HUN,,,270937000,308069992,340431008,581184984,508096000,2634729976,3854633096,4817773000,6401646976,6260927992,7364191880,9612680000,14158084000,13623883000,14915263000,19349248000,20989547000,17443607000
Iceland,ISL,12714951,1804907,3503699,4553710,31697325,34497075,43439434,44803613,36249665,41788022,30915295,8632242,17203663,21698869,31107930,161496817,247268258,729185766,368439590,224732502
India,IND,302592923,372382281,326833644,396299000,596073172,1000794502,1238770617,1226723792,1030150754,1245241080,1568950630,1825858109,1820557056,2125027397,2759590451,3382740927,4015283842,4944113015,6497236723,10143486816
Indonesia,IDN,111735740,197455364,464890865,850549235,1339620025,1658530470,2249757215,2561292530,2187606663,2672021726,5697942628,4403218842,5069602891,4580334626,5808538710,6571125440,5899866293,5225157161,5624856055,5939858327
"Iran, Islamic Rep.",IRN,,,,,,,,1426109,1860193,8258727,37953163,23732559,63710137,50881046,98308038,127327674,374673348,,,
Iraq,IRQ,,,,,,,,,,,,,,,,9982,,49871,,
Ireland,IRL,6827984969,6540418694,7171006758,7869317046,9949389457,14354390268,17323860878,20011409702,23719145979,28314650365,31264620410,34435559949,31622001657,27577909095,30237206506,32676835964,31652804506,28858459569,28615976673,24738476359
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,
Israel,ISR,1090109857,1158060063,1352243788,1592734361,1987705426,2687191048,3144842024,3788770048,4210577072,4588015000,7418249960,6733383008,5413688928,5322475048,6860974000,4937219000,5564750000,3088348000,9238833000,10267546000
Italy,ITA,11216521670,11882143208,13138236589,12515914829,13905386792,16347716238,17317177561,15747541810,17084547557,16869168177,19692852090,20170354026,20036291817,20289880758,23807878432,24623432234,25147517304,27982362819,30026990013,25988021694
Jamaica,JAM,,864066,857795,511199,417901,334290,429584,507240,684967,327865,544351,251079,1014691,369659,1135623,878672,1294491,2456471,6236529,4324699
Japan,JPN,65586082243,71936645860,77209149204,83727888575,95072115929,1.10087E+11,1.00165E+11,1.03171E+11,94011175181,1.03202E+11,1.27376E+11,98155740299,94729820921,1.05454E+11,1.24045E+11,1.2268E+11,1.26618E+11,1.21425E+11,1.23733E+11,99209829828
Jordan,JOR,3925933,10165206,4691144,7936400,47820165,30145488,,31131875,14825628,48042626,52729676,88111508,47688121,27803556,40560772,34200172,35023125,38158261,41179421,48769673
Kazakhstan,KAZ,,,,,,88855442,100033907,98738805,117169110,135066192,57141200,48511900,197295300,199754900,280890104,416515619,986525213,1462238059,2250106880,1801893807
Kenya,KEN,11666817,7026416,7554940,9080429,15752834,17796369,21038724,21543564,20200184,11656227,12519818,17321299,34847143,22596731,16687429,31193154,39184526,81191484,78248525,
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",PRK,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,10819602681,12762197082,13891276759,15330731589,20054758236,29599087397,27416457556,31182441380,30645361464,41080641043,53950399997,40042248933,46600288076,57160713036,75742248119,83526989928,92944734551,1.10633E+11,1.12487E+11,1.034E+11
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,15466510,5338075,16329682,11457124,131764827,9419935,10946348,9030276,9344288,35180610,1464897,1487446,1308546,1038364,1348493,,5866575,9329901,6312260,
Kyrgyz Republic,KGZ,,,,,,20688581,34808364,,18080807,5012455,16883055,16203501,5625804,2397484,18505927,3243995,6463964,7836801,11436142,10918186
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,,,,,35511092,38821521,45611845,62521572,41881350,39485517,41775162,43687199,50845322,76103154,130181121,158773352,241559555,352686857,418797320,363476584
Lebanon,LBN,,,,,,,,14643673,13646265,11590209,11050508,15989581,15612291,16951311,26217000,34933000,35449131,46848533,72615855,138111210
Lesotho,LSO,,,,,,,,,,,901662,1195899,1935731,327253,434420,,,,,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,,,4296922,,56698087,56058834,69724186,85715351,72054652,61435164,95114065,129782619,127092158,215079754,250400216,410482122,653227348,1213921210,1492980449,930646733
Luxembourg,LUX,,,,,,,,,,955582054,1073039257,1333503458,1095491439,998458519,1059736938,1225514915,1323987760,1166457370,957734381,960322841
"Macao SAR, China",MAC,25760391,28808406,32326379,29619569,22641647,36406197,36153655,38335783,15233058,15966447,18439697,17243461,12237350,10952999,9961608,12396834,12671644,16862697,22922705,13198069
"Macedonia, FYR",MKD,,,,,13802485,21074977,10592441,17383914,17739991,6690108,11028216,8740171,10605943,12721853,16145834,15700406,18138852,21096544,,41722046
Madagascar,MDG,3174157,726300,395256,4381860,772411,595649,1001136,654099,15463497,3735329,2010292,3146312,1705591,1610470,2358001,2693511,4952331,7272465,7293856,9621465
Malawi,MWI,18212,28293,,,1044393,479984,363503,372389,130741,301727,542478,1274711,68450,210260,671699,6028207,9069785,1953146,1730070,3312819
Malaysia,MYS,6045971744,7947600809,9882168705,13484208048,19161290718,25397659891,26308653894,29482400393,31634286730,39963570717,46998538988,40912481519,43543951769,47331742991,53222673792,57650291242,63410667185,65107409942,42764059573,51559754556
Maldives,MDV,,,,,,,,,,,,,,,0,0,,,,
Mali,MLI,,,,,,,171753,136329,368830,899253,1255457,3166269,3139303,1465676,2006051,2353887,2544892,3348221,2877126,
Malta,MLT,444691759,575695540,766312693,631219962,844860565,1073652444,904230541,789980878,1002137134,1066056865,1553617410,1043538918,1034016694,1241726984,1379059871,1156331690,1511082366,1477021280,1340944746,991270488
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,4319676,3841225,3942758,4818263,8649829,10190655,6773703,8678296,14843319,13174632,12370837,13270568,28898561,71885999,61091142,16165146,360111607,111608574,98561155,12843046
Mayotte,MYT,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,945802527,1164023348,3658926056,4454427056,6489437385,9295053056,11740854306,15512185604,19152994024,23982305104,31089504455,29666990353,28844958597,28608610227,31831521801,32262278769,35732396687,33314033104,41200643487,37353528539
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,,,5009596,6314855,7130579,49271382,4057151,5128411,4894416,4650194,7573667,7488188,8409300,7599412,10344621,13847852,13232104,9616186
Monaco,MCO,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,,,,,,,483565,1910298,763727,2785190,559535,128925,682883,411727,252937,145905,2651543,6930819,,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,52752539,45777236,13022659,8349757,9123656,447607182,603550289,536912231,438721377,572058855,680080544,695577948,707285851,829730176,857878094,771002934,646161255
Mozambique,MOZ,,,,,314000,906000,2365000,2990872,,635264,2294332,999791,3056899,6535421,8510916,9452938,2730220,14882251,5861671,23749556
Myanmar,MMR,,,20463,,,,,,,,,,,,,,,,,
Namibia,NAM,,,,,,,,,,,13611638,5790103,10343121,15234178,65107572,161026945,101742868,82825374,21338321,
Nepal,NPL,,,,,10000449,,,,27173,7699,124681,,,595447,,,,,,2492419
Netherlands,NLD,12786622584,13857656486,16000367755,17959802684,19471522741,26442097368,29531010213,34877000961,35382631489,39397577404,44428130971,38520006736,33663288635,49507748357,59298134823,65124646608,68577779534,74369385904,67056181940,58449778506
New Caledonia,NCL,,,,,,,,,,4081551,2295300,2591825,2077831,3761346,15736933,4429339,10253595,5411799,4605491,
New Zealand,NZL,92338917,108081886,122385336,140047506,210172678,276019841,292728722,365235541,464410030,606486372,375063367,365471502,,471303591,,594436347,586802586,628080108,616145490,504015478
Nicaragua,NIC,,,,1563420,2003714,1007886,1630368,1048922,2286153,2269055,2315651,2049117,5977861,3059340,4987580,4468860,4707131,5232940,8121026,7008946
Niger,NER,,,,,,151554,220986,353782,161413,610327,1182844,525892,523572,528004,769865,4703419,5121650,3999497,2230388,
Nigeria,NGA,,,,,,,1504224,418458,30709,13035583,223377,204540,1261707,8569633,,,61665444,11054430,14517544,45809902
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,
Norway,NOR,1375281724,1247898590,1413175581,1271814742,1309981914,1560630001,1677366733,1754582337,1943166050,2000841682,1895011860,2317824056,2821651125,2661642456,2818354978,3010080710,3599499667,4391024860,5728586675,4694479422
Oman,OMN,5989250,6835061,7745731,7607582,11820658,20195912,38412679,76239142,61276953,42889985,41567279,41425203,36448779,38874272,3767647,2229574,3409703,7513179,18059259,7463799
Pakistan,PAK,2811588,1627511,1797872,4554684,,2629258,2447135,6214347,8085379,21668348,29834585,23086639,59152505,132848463,120967591,180661789,197320326,187951320,274677945,227362304
Palau,PLW,,,,,,,,,,,,,,,,,,,,
Panama,PAN,,,,,,680320,195277,635895,333139,348184,63123,920698,899316,843027,1841899,742893,221732,96044,29001,11438
Papua New Guinea,PNG,,,,,,,,,33713501,,10657432,38157010,12563613,46766787,70777340,,,,,
Paraguay,PRY,170374,689660,1145942,1014385,1866444,3707344,2075225,3685025,5378345,3220175,4769246,6673026,4549104,9336183,13109249,16293498,24237564,23754931,32404950,38392611
Peru,PER,,,8536201,8642090,15390858,17286797,30402859,28734772,35998096,35046696,41870802,42872344,24411675,27844534,43242286,63735966,56713369,69247338,92276954,86717227
Philippines,PHL,,2003787667,1112024454,1414639382,1898787175,2596621641,9929097584,14353545286,19027002901,24163367932,25240098062,21013784543,23867718529,23942090486,25855091670,25997824194,27625618563,29507842699,26875222366,21530782893
Poland,POL,,,284088000,251747000,307466000,435229000,521579994,477586033,621671016,543176000,837742992,886108992,915485016,1334009016,1948471906,2687507094,3283896333,4176589210,7172018717,
Portugal,PRT,581995088,520912340,576006598,370751786,575028596,1042181460,858650514,841237494,846089482,1045447744,1323506435,1643214422,1610460865,2340044837,2722257079,2562418800,2971210281,3284685796,3355306365,1287709188
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,15658,17999,5137,0,14203,13575,,0,41692,549,1250,1635,24352,306535,14026,268380,2608467,282670,
Romania,ROU,105941000,43207022,43066474,32852373,75253000,140154000,97757000,62060000,101209003,209530000,444455000,530877008,389593008,530235899,653400028,757649899,1129182544,1177699144,2744172899,3230317879
Russian Federation,RUS,,,,,,,2162072407,1829120373,2427711925,2744028147,4191850198,3120735790,4864781403,5631042561,5355284648,3689753009,3827493652,4144105189,5107299941,4575581153
Rwanda,RWA,,,,,,,46789,5910,40064,9718,,,17850,1322453,540853,962112,672236,1166955,1012916,11167387
Samoa,WSM,,,,,,,,,,,,214124,75269,97346,46462,5731691,29663,58285,347587,106099
San Marino,SMR,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,,,,,,,,,,,,,1597,,0,1806,2428,356,252,32586
Saudi Arabia,SAU,,9778105,2548245,1287523,2155984,6688669,38593627,,16545889,44789754,22064692,29579914,23747410,108691962,33449472,91242144,148489471,120915765,85194506,39837657
Senegal,SEN,,,,,,,2648635,1726257,15553038,33602313,14195976,11719884,13637509,36412981,32743159,74918757,17398302,22060354,45622961,103521625
Serbia,SRB,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,253,0,55,0,0,0,0,0,199273,1536924,1660553,0,0,3714141,457197,0,195491,
Sierra Leone,SLE,,,,,,,,,,,340211,,960168,,,,,,,
Singapore,SGP,14935981264,17212933386,21648940131,27361594955,40136147170,53412401906,57763286460,59528107519,54688155214,59810800429,73643311318,62260431919,63791607235,76036241388,93757969078,1.05078E+11,1.24137E+11,1.05549E+11,1.20345E+11,97207444744
