Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Djibouti,DJI,,43.5,,,,,,,,,,,59.5,,,,,,,
Dominica,DMA,,9.8,,,,,,23.2,,15.7,,11,,,,,,,,
Dominican Republic,DOM,,19.9,20.7,19.9,16.2,15.8,16.7,15.6,14.4,13.8,14.2,15.7,16.1,16.7,18.4,18,16.4,15.6,14.2,
Ecuador,ECU,6.1,5.8,8.9,8.3,7.1,6.9,10.4,9.2,,14,9,10.7,9.1,11.4,8.6,7.7,7.7,6.1,7.3,6.5
"Egypt, Arab Rep.",EGY,8.6,9.6,9,10.9,11,11.3,9,8.4,8.2,8.1,9,9.4,10.2,10.4,10.7,11.2,10.6,8.9,8.7,9.4
El Salvador,SLV,10,7.5,7.9,9.9,7.7,7.6,7.7,8,7.3,7,7,7,6.2,6.9,6.8,7.2,6.5,6.4,5.9,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,
Estonia,EST,0.6,1.5,3.7,6.6,7.6,9.7,9.9,10.4,9.5,11.6,13.1,12.5,9.5,10.8,10,7.9,6,4.7,5.5,13.7
Ethiopia,ETH,,1.3,,,3.1,,,,,8.2,,,,,23.1,5.4,17,,,20.5
Faeroe Islands,FRO,,,,,,,,,,,,,,,,3.2,,,,
Fiji,FJI,6.4,5.9,5.4,5.9,5.7,5.4,5.8,,,,,,,,4.6,4.6,,8.6,,
Finland,FIN,3.1,6.5,11.6,16.2,16.4,15.3,14.4,12.6,11.4,10.1,9.7,9.1,9,9,8.8,8.4,7.6,6.8,6.3,8.2
France,FRA,9.4,9.1,10.2,11.3,12.6,11.8,12.4,12.6,12.1,12,10.2,8.6,8.7,8.6,9.2,8.8,8.8,8,7.4,9.1
French Polynesia,PYF,,,,,,,,,,,,,11.7,,,,,11.7,,
Gabon,GAB,,,,17.8,,,,,,,,,,,,,,,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,,,,,,,,,14.5,13.8,10.8,11.2,12.6,11.5,12.6,13.8,13.8,13.3,16.5,
Germany,DEU,,5.6,6.6,7.9,8.4,8.1,8.9,9.8,9.2,8.4,7.7,7.8,8.6,9.3,10.3,11.1,10.3,8.6,7.5,7.7
Ghana,GHA,,,4.7,,,,,,,10.1,10.4,,,,,,,,,
Gibraltar,GIB,,6.4,,,,,,,,,,,,,,,,,,
Greece,GRC,7,7.7,7.8,9,8.9,9.1,9.7,9.6,10.8,11.7,11.1,10.2,10.3,9.7,10.5,9.8,8.9,8.3,7.7,9.5
Greenland,GRL,,,,,,,12.9,10.1,11.6,9,11,9.5,8.8,10.3,10.4,9.3,8.4,,,
Grenada,GRD,,,,,26.9,,16.9,,15.2,,,10.2,,,,,,,,
Guam,GUM,2.8,3.5,3.9,5.5,,,,9.7,7.7,14,15.3,13,11.4,,,,,,,
Guatemala,GTM,,,,,,,,,,1.9,1.4,1.3,3.1,2.8,3.1,,1.8,,,
Guinea,GIN,,,,,3.1,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,11.7,,,,,,,,,9.1,11.8,,,,,,,
Haiti,HTI,12.7,,,,,,,,,7.2,,,,,,,,,,
Honduras,HND,4.8,4.7,3.2,,,3.2,4.4,3.3,4,3.9,,4.1,3.9,5.2,6,4.2,3.1,2.9,,
"Hong Kong SAR, China",HKG,1.3,1.8,2,2,1.9,3.2,2.8,2.2,4.6,6.2,4.9,5.1,7.3,7.9,6.7,5.6,4.8,4,3.6,5.2
Hungary,HUN,,,9.9,12.1,10.8,10.2,9.9,8.7,7.8,7,6.4,5.7,5.8,5.9,6.1,7.2,7.5,7.4,7.8,10
Iceland,ISL,,2.5,4.3,5.3,5.3,4.9,3.7,3.9,2.7,2,2.3,2.3,3.3,3.4,3.1,2.6,3,2.3,3,7.2
India,IND,,,,,3.7,2.2,2.1,2.6,3.6,,4.3,,,,4.403667414,4.4,,,,
Indonesia,IDN,,,2.8,,,,4.4,4.7,5.5,6.3,6.1,8.1,9.1,9.5,9.9,11.2,10.3,9.1,8.4,7.9
"Iran, Islamic Rep.",IRN,,11.1,,,,,9.1,,,,,,12.8,,10.3,12.1,,10.6,10.5,
Iraq,IRQ,,,,,,,,,,,,,,28.1,26.8,18,17.5,,,
Ireland,IRL,14.1,15.8,15,15.6,14.6,12,11.7,10.2,7.7,5.8,4.3,3.7,4.2,4.5,4.5,4.4,4.4,4.6,6,11.7
Isle of Man,IMN,,4.1,,,,,3.5,,,,,1.6,,,,,2.4,,,
Israel,ISR,9.6,10.6,11.2,10,7.8,6.9,6.7,7.7,8.5,8.9,8.8,9.4,10.3,10.7,10.4,9,8.4,7.3,6.1,7.6
Italy,ITA,9.8,10.1,9.3,10.2,11.1,11.7,11.9,12,12.1,11.7,10.8,9.6,9.2,8.9,7.9,7.7,6.8,6.1,6.7,7.8
Jamaica,JAM,15.7,15.7,15.4,16.3,15.4,16.2,16,16.5,15.5,15.7,15.5,15,14.3,11.7,11.4,10.9,9.6,9.4,10.6,11.4
Japan,JPN,2.1,2.1,2.2,2.5,2.9,3.2,3.4,3.4,4.1,4.7,4.8,5,5.4,5.2,4.7,4.4,4.1,3.9,4,5
Jordan,JOR,,,,19.7,,14.6,13.7,,,,,15.8,16.2,15.4,12.4,,,13.1,12.7,12.9
Kazakhstan,KAZ,,,,,7.5,11,13,13,13.1,13.5,12.8,10.4,9.3,8.8,8.4,8.1,7.8,7.3,6.6,6.6
Kenya,KEN,,,,,,,,,,9.8,,,,,,,,,,
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",PRK,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,2.5,2.4,2.5,2.9,2.5,2.1,2,2.6,7,6.3,4.4,4,3.3,3.6,3.7,3.7,3.4,3.2,3.2,3.6
Kosovo,KSV,,,,,,,,,,,,57,55,49.7,39.7,41.4,44.9,46.3,47.5,45.4
Kuwait,KWT,,,,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1.1,1.3,1.7,2,,,,
Kyrgyz Republic,KGZ,,,,,,,,,,,7.5,7.8,12.5,9.9,8.5,8.1,8.3,8.2,8.2,
Lao PDR,LAO,,,,,,2.6,,,,,,,,,,1.4,,,,
Latvia,LVA,,,,,,,20.2,14.7,14.5,13.8,14.2,13.1,13.3,10.6,9.9,8.9,6.9,6,7.5,17.1
Lebanon,LBN,,,,,,,,8.5,,,,,,,7.9,,,9,,
Lesotho,LSO,,,,,,,,39.3,,27.3,,,,,,,,,,
Liberia,LBR,,,,,,,,,,,,,,,,,,5.6,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,,,,,17.4,17.1,15.6,14.1,13.7,13.4,15.9,16.8,13,12.9,11.4,8.3,5.6,4.3,5.8,13.7
Luxembourg,LUX,1.6,1.5,2,2.3,3.5,2.9,3.3,2.5,2.8,2.4,2.3,1.8,2.6,3.7,5.1,4.5,4.7,4.1,5.1,5.1
"Macao SAR, China",MAC,3.1,3,2.3,2,2.4,3.6,4.2,3.1,4.5,6.3,6.7,6.5,6.4,6.1,4.9,4.2,3.7,3,3,3.6
"Macedonia, FYR",MKD,,,,,,,,36,34.5,32.4,32.2,30.5,31.9,36.7,37.2,37.3,36,35,33.7,32.2
Madagascar,MDG,,,,,,,,,,,5.8,5.3,,5,,2.6,,,,
Malawi,MWI,,,,,,,,,,,,,,,7.8,,,,,
Malaysia,MYS,5.1,,3.7,3,,3.1,2.5,2.5,3.2,3.4,3,3.5,3.5,3.6,3.5,3.5,3.3,3.2,3.3,3.7
Maldives,MDV,,,,,,0.8,,,,,2,,,,,,14.4,,,
Mali,MLI,,,,,,,,3.3,,,,,,,8.8,,,,,
Malta,MLT,,,,,,,,,,,6.5,6.9,6.9,7.5,7.6,7.5,6.7,6.6,5.8,6.9
Marshall Islands,MHL,,,,,,,,,,30.9,,,,,,,,,,
Mauritania,MRT,,,,,,,,,,,20.6,,,,33,,,,,
Mauritius,MUS,,,3.3,3.9,4.5,,5.8,6.6,6.9,7.7,8.8,9.1,9.7,10.2,8.5,9.6,9.1,8.5,7.2,7.3
Mayotte,MYT,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,,3,3.1,3.2,4.2,6.9,5.2,4.1,3.6,2.5,2.6,2.5,2.9,3,3.7,3.5,3.2,3.4,3.5,5.2
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,,,,,,,,11.1,8.5,7.3,6.8,8,8.2,7.3,7.4,5.1,4,6.4
Monaco,MCO,,,,,,,,,,,3.6,,,,,,,,,
Mongolia,MNG,,,,,,,,,5.9,,,,3.4,3.5,3.6,3.3,,,,
Montenegro,MNE,,,,,,,,,,,,,,,,30.3,,,,
Morocco,MAR,15.8,17.3,16,15.9,,22.9,18.1,16.9,19.1,13.9,13.6,12.5,11.6,11.9,10.8,11,9.7,9.7,9.6,10
Mozambique,MOZ,,,,,,,,2.2,,,,,,,,,,,,
Myanmar,MMR,6,,,,,,,,,,,,,,,,,,,
Namibia,NAM,,19,,,19.4,,,19.5,,,20.3,,,,21.9,,,,37.6,
Nepal,NPL,,,,,,,4.5,,,1.8,,8.8,,,,,,,,
Netherlands,NLD,7.7,7.3,5.6,6.3,7.2,7.2,6.4,5.5,4.4,3.6,2.7,2.1,2.6,3.6,4.6,4.7,3.9,3.2,2.8,3.4
New Caledonia,NCL,,,,,,,18.6,,,,,,,,,,,,,
New Zealand,NZL,7.8,10.6,10.6,9.8,8.4,6.5,6.3,6.8,7.7,7,6.2,5.4,5.3,4.8,4,3.8,3.9,3.7,4.2,6.1
Nicaragua,NIC,10.9,14,14.4,,,16.9,14.9,13.3,13.2,10.9,9.8,6.4,12.2,8,6.7,5.6,5.3,5,,
Niger,NER,,,,,,5.1,,,,,,1.5,,,,,,,,
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,,,,,,,,,,,3.8,,,4.6,,8.3,,,,
Norway,NOR,5.3,5.4,5.9,6,5.3,4.9,4.8,3.9,3.2,3.2,3.4,3.4,3.9,4.4,4.4,4.6,3.4,2.5,2.6,3.2
Oman,OMN,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,2.6,5.9,5.2,4.3,4.3,5,,5.8,5.7,,7.2,,7.8,,7.4,,6.1,5.1,5,
Palau,PLW,,,,,,,,,,,,,,,,,,,,
Panama,PAN,,16.1,14.7,13.3,14,14,14.5,13.4,14,11.8,13.8,14.7,14.1,13.6,12.4,10.3,9.1,6.8,5.9,
Papua New Guinea,PNG,7.7,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,6.4,5.1,5,5.1,4.4,3.4,,5.3,5.3,6.6,7.6,7.6,10.7,7.9,7.4,5.8,6.7,5.6,5.6,
Peru,PER,8.6,5.8,9.4,9.9,8.9,7.1,7,7.7,7.8,8,7.4,7.9,7.7,8.4,9,8.7,7.4,6.7,6.8,
Philippines,PHL,8.1,9,8.6,8.9,8.4,8.4,7.4,7.9,9.4,9.4,11.2,11,11.5,11.2,11.9,7.7,8,7.4,7.3,7.5
Poland,POL,,,13.3,14,14.4,13.3,12.4,11.2,10.7,12.5,16.1,18.2,19.9,19.6,19,17.7,13.8,9.6,7.1,8.2
Portugal,PRT,4.7,4.3,4.1,5.5,6.9,7.2,7.3,6.9,4.9,4.4,3.9,4,5,6.3,6.7,7.6,7.7,8,7.6,9.5
Puerto Rico,PRI,15.1,16.8,16.9,17,14.6,13.9,13.6,13.8,13.5,11.8,10.1,11.4,11.9,11.8,10.3,11.3,11,10.9,11.5,13.4
Qatar,QAT,,,,,,,,2.3,,,,3.9,,,1.5,,,0.5,,
Romania,ROU,,,,,8.2,8,6.7,5.5,5.6,6.2,7,6.6,8.1,7,7.7,7.2,7.3,6.4,5.8,6.9
Russian Federation,RUS,,,5.2,5.9,8.2,9.5,9.7,11.7,13.2,13,10.6,8.9,7.9,8.2,7.7,7.1,7.1,6.1,6.3,8.2
Rwanda,RWA,,0.3,,,,,0.6,,,,,,,,,,,,,
Samoa,WSM,,,,,,,,,,,,5,,,,,,,,
San Marino,SMR,4.9,3.7,3.6,4.1,,2.9,3.5,2.9,3,,,,,,,,2.8,2.6,,
Sao Tome and Principe,STP,,,,,,,,,,,14.4,,,,,,16.7,,,
Saudi Arabia,SAU,,,,,,,,,,4.3,4.6,4.6,5.2,,,,6.3,5.6,5,5.4
Senegal,SEN,,,,,,,,,,,,,,,,,10,,,
Serbia,SRB,,,,,,,,,,,,,,,18.5,20.8,20.8,18.1,13.6,16.6
Seychelles,SYC,,,,,10.4,,,,,,,,9.8,,,5.5,,,,
Sierra Leone,SLE,,,,,,,,,,,,,,,3.4,,,,,
Singapore,SGP,,1.9,2.7,2.7,2.6,2.7,3,2,2.7,4.9,6,2.9,4.4,4.7,5.8,5.6,4.5,3.9,4,5.9
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,,,,12.2,13.7,13.1,11.3,11.9,12.6,16.4,18.8,19.3,18.6,17.5,18.1,16.2,13.3,11,9.6,12.1
Slovenia,SVN,,7.1,,8.7,8.2,7.2,7.2,7.2,7.6,7.4,7.2,5.7,6.3,6.7,6.3,6.5,6,4.8,4.4,5.9
Solomon Islands,SLB,,,,,,,,,,31.9,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,,,,,20,16.9,21,22.9,25,25.4,26.7,29.5,30.5,31.2,26.2,26.7,25.5,23,22.9,23.8
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,
Spain,ESP,16,16.1,18.1,22.4,23.9,22.7,22,20.6,18.6,15.6,13.9,10.5,11.4,11.3,11,9.2,8.5,8.3,11.3,18
Sri Lanka,LKA,13.7,14.7,14.2,13.7,13,12.2,11.3,10.6,9.1,8.9,7.7,7.9,8.8,8.2,8.4,7.7,6.5,6,5.2,7.6
St. Kitts and Nevis,KNA,,,,,,,,,,,,5.1,,,,,,,,
St. Lucia,LCA,,7.1,,16.8,19,15.9,16.3,20.5,21.6,18.1,16.5,,14.7,22.2,21,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,,20.2,,,,,,,,,,,,,,,,,,
Sudan,SDN,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,15.7,,17.3,14.7,12.7,8.4,10.9,10.5,10.6,13.8,,,,,9.5,,,,,
Swaziland,SWZ,,,,,,21.7,,22.5,,,,,,,,,,,,
Sweden,SWE,1.8,3.2,5.7,9.3,9.6,9.1,9.9,10,8.3,7.1,5.8,5,5.2,5.8,6.5,7.7,7,6.1,6.1,8.3
Switzerland,CHE,2.1,1.7,2.8,3.7,3.8,3.3,3.7,4.1,3.6,3.1,2.7,2.5,2.9,4.1,4.3,4.4,4,3.6,3.4,4.1
Syrian Arab Republic,SYR,,6.8,,7.4,7.5,7.2,,15.2,,7.6,2.3,11.6,11.7,10.3,,,,8.4,,
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,,3.6,,,,,,,,,,5.1,,,,,4.3,,,
Thailand,THA,2.2,2.7,1.4,1.5,1.3,,1.1,0.9,3.4,3,2.4,2.6,1.8,1.5,1.5,1.3,1.2,1.2,1.2,1.2
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,
Togo,TGO,,,,,,,,,,,,,,,,,,,,
Tonga,TON,4.1,,,1.3,,,13.3,,,,,,,5.2,,,1.1,,,
Trinidad and Tobago,TTO,20,18.5,19.6,19.8,18.4,17.2,16.3,15,14.2,13.1,12.1,10.8,10.4,10.5,8.3,8,6.3,5.5,4.6,5.3
Tunisia,TUN,,,,,,,,15.9,,16,15.7,15.1,15.3,14.5,13.9,14.2,14.3,14.1,14.2,
Turkey,TUR,8,8.2,8.5,9,8.6,7.6,6.6,6.8,6.9,7.7,6.5,8.4,10.4,10.5,10.8,10.6,10.2,10.3,11,14
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,9.7,6.2,7.8,9.9,8,7.4,5.4,,
Tuvalu,TUV,,,,,,,,,,,,,6.5,,16.3,,,,,
Uganda,UGA,,1,,,,,,,,,,,,3.2,,,,,,
Ukraine,UKR,,,,,,5.6,7.6,8.9,11.3,11.6,11.6,10.9,9.6,9.1,8.6,7.2,6.8,6.4,6.4,8.8
United Arab Emirates,ARE,,,,,,1.8,,,,,2.3,,,,,3.1,,,4,
United Kingdom,GBR,6.8,8.4,9.7,10.3,9.6,8.6,8.1,7,6.1,5.9,5.5,4.7,5.1,4.8,4.6,4.6,5.3,5.2,5.3,7.7
United States,USA,5.6,6.8,7.5,6.9,6.1,5.6,5.4,4.9,4.5,4.2,4,4.7,5.8,6,5.5,5.1,4.6,4.6,5.8,9.3
Uruguay,URY,8.5,9,9,8.3,9.2,10.2,11.9,11.4,10,11.3,13.6,15.2,17,16.8,13.1,12.2,10.6,9.2,7.6,7.3
