Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
High income: OECD,OEC,1.81523E+11,1.27246E+11,1.27824E+11,1.62073E+11,1.62287E+11,2.3296E+11,2.5672E+11,3.02268E+11,5.33492E+11,1.00685E+12,1.38124E+12,6.76908E+11,5.69328E+11,4.62539E+11,4.90042E+11,7.97267E+11,1.05463E+12,1.62385E+12,1.10156E+12,7.8557E+11,6.52491E+11
Latin America & Caribbean (all income levels),LCN,8390055052,13155413612,14793428962,14299498178,29204809951,30680427202,45620630872,70298899332,79009908594,95837505964,87384927925,76527794120,56358862361,41562384368,77943983290,85804096385,89503597226,1.35308E+11,1.52986E+11,98088411787,1.27156E+11
Latin America & Caribbean (developing only),LAC,8107200494,12803763832,14607109849,13442019151,28258296948,30217743659,43850011664,65727789902,73679555694,88088609205,78936496716,71917087037,55332617445,43026049228,66896292675,73808707387,72223969891,1.10592E+11,1.29991E+11,78370054695,1.12513E+11
Least developed countries: UN classification,LDC,267450798.9,1550535662,1527324407,1953953615,1043164460,1906222549,2292433021,3163995944,4358602519,5501249285,3990421621,6632294782,6368177657,10032940164,8142794872,6841205339,11306407303,14855741441,17216982782,17057635613,14368024699
Low & middle income,LMY,21500211217,30738433564,43411959221,62689274778,84530688659,95037216203,1.18396E+11,1.56897E+11,1.56548E+11,1.63068E+11,1.49068E+11,1.58854E+11,1.55073E+11,1.53205E+11,2.09386E+11,3.16311E+11,3.90098E+11,5.40264E+11,6.30603E+11,4.03991E+11,5.09183E+11
Low income,LIC,417517859.3,628442807.6,414787164,498774194.4,608458903.5,1233075140,1435802396,2523734594,2839942257,2382578565,2387977295,2585461899,3101093226,4292233316,4417129700,4250222410,5284980751,10001789608,10566279710,9232758832,12754009259
Lower middle income,LMC,4152589858,5798445330,7092058883,10922583122,13121211965,15761711276,19289249153,20187416077,17525089022,14065812049,11859677077,13710039452,20072425490,21150360513,25785296331,49846103748,74176141390,99198960540,1.27999E+11,1.01074E+11,90178351010
Middle East & North Africa (all income levels),MEA,2632104246,2552972087,4097234023,5174917798,3861210898,1488585868,5014417659,7767300040,9891394368,5836836699,11052331506,7327113495,9818207036,19220318360,25636322399,52187576602,86086446866,91504731839,1.08642E+11,86162827348,67693223805
Middle East & North Africa (developing only),MNA,719766607.1,1146454170,2370616629,2792751545,2439556880,906767229.8,1356107506,1947442194,2641875801,1914345359,4077728447,3842647647,8230703609,10122406813,10425943745,18362956792,29694020522,33290079804,35237409377,29506249667,27929955206
Middle income,MIC,21082693358,30109990756,42997172057,62190500584,83922229755,93804141063,1.1696E+11,1.54373E+11,1.53708E+11,1.60685E+11,1.4668E+11,1.56268E+11,1.51972E+11,1.48913E+11,2.04969E+11,3.12061E+11,3.84813E+11,5.30262E+11,6.20036E+11,3.94759E+11,4.96429E+11
North America,NAC,56070601938,26054387248,24586794694,56128859063,54353759965,67119143130,96155109106,1.17113E+11,2.01772E+11,3.14232E+11,3.87418E+11,1.94731E+11,1.06423E+11,70956009808,1.45225E+11,1.38539E+11,3.03616E+11,3.38996E+11,3.68023E+11,1.81081E+11,2.60217E+11
Not classified,INX,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,1.85417E+11,1.3362E+11,1.33996E+11,1.68132E+11,1.7645E+11,2.46328E+11,2.71443E+11,3.21174E+11,5.51767E+11,1.03027E+12,1.40519E+12,7.14308E+11,5.96743E+11,4.84791E+11,5.248E+11,8.38404E+11,1.10217E+12,1.68816E+12,1.1625E+12,8.22187E+11,6.95543E+11
South Asia,SAS,540486864.4,390911743.5,746339992.6,1114455940,1580856836,2931151631,3509597557,4897071941,3548159714,3073014196,4367370968,6146655251,6716645040,5402836376,7626983431,10957590119,26087155464,32741634014,51070576946,39404391903,27960041763
Sub-Saharan Africa (all income levels),SSF,1001954054,2193578294,1645206462,2593677700,3507772583,4538899343,4495506359,8554710682,7155868075,8873212658,6731235930,14910746554,11477989655,14328075978,11586550104,19490828324,16634342003,29716706194,37074102326,34891726407,27153530153
Sub-Saharan Africa (developing only),SSA,990880275.6,2152253535,1639188142,2571376025,3490777049,4411975173,4119325955,8501259154,6881099959,8718916484,6576736340,13970005339,11154598148,13638296212,11245635636,18721682139,16164835988,28473975107,37867974659,33255506782,26458504026
Upper middle income,UMC,16930103500,24311545426,35905113174,51267917462,70801017790,78042429787,97671186998,1.34185E+11,1.36183E+11,1.46619E+11,1.3482E+11,1.42558E+11,1.319E+11,1.27763E+11,1.79183E+11,2.62215E+11,3.10637E+11,4.31063E+11,4.92037E+11,2.93684E+11,4.0625E+11
World,WLD,2.12302E+11,1.66052E+11,1.75841E+11,2.33304E+11,2.58874E+11,3.4128E+11,3.9179E+11,4.85252E+11,7.24624E+11,1.2241E+12,1.62324E+12,8.88861E+11,7.46285E+11,6.50599E+11,7.8333E+11,1.21107E+12,1.59455E+12,2.35205E+12,1.90562E+12,1.34582E+12,1.3315E+12
Afghanistan,AFG,,,,,,,,,,,,,,,,,238000000,243000000,300000000,185000000,75650000
Albania,ALB,,,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325258316.8,662280000,958684088.3,963681086.3,1109558024
Algeria,DZA,334914.5642,11638686.45,30000000,,,,270000000,260000000,606600000,291700000,438000000,1196000000,1065000000,633800000,881900000,1081000000,1796000000,1662000000,2595000000,2760000000,2291200000
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1672093000,3504701780,1449231820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182
Antigua and Barbuda,ATG,60607407.41,54792592.59,19648148.15,15240740.74,24788888.89,31485185.19,19351851.85,22944444.44,22774074.07,51792533.33,43115925.93,98452222.22,65865064.81,166321143.7,80366585.19,220963374.1,358820163.7,338204733.3,174188641.1,118054060,57498124.81
Argentina,ARG,1836000000,2439000000,4431000000,2793000000,3635000000,5609000000,6949000000,9160000000,7291000000,23988000000,10418314339,2166136830,2148910000,1652010000,4124710000,5265260000,5537350000,6473170000,9725553970,4017158925,6336827804
Armenia,ARM,,,2400000,800000,8000000,25320000,17570000,51940000,220830000,122040000,104190000,69868500,110738700,120872200,247855451.6,239384713,453172318.4,698820000,935434359.8,777498557.9,570060000
Aruba,ABW,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,84469273.74,195921787.7,83575418.99,463016759.8,-127988826.8,-267932960.9,261284916.2,154525139.7,133910614.5,100837988.8,564860335.2,-126424581,200335195.5,73407821.23,160782122.9
Australia,AUS,8110892264,4312358476,5699133705,4318356056,5000720814,12026426012,6181381325,7631273090,5956935413,3311038586,13618008434,8260884019,16991776868,8023802770,36826801136,-35600962214,26414835037,41076186563,47280610081,27245557754,30576304123
Austria,AUT,653220243.9,360071602.9,1442437729,1129076308,2116581765,1900907109,4484976693,2624383043,4660677306,3009014242,8525406379,5905880645,318132393.3,7098252090,3892054627,81648142050,2477350622,63971942723,6602199362,8713914101,-26605070979
Azerbaijan,AZE,,,,,,330050000,627277000,1114838000,1022967000,510317000,129937000,226513000,1392435000,3284998000,3556099000,1679920000,-583985000,-4748881000,14775000,473305000,563132000
"Bahamas, The",BHS,-17300000,-1300000,300000,27100000,23400000,106800000,87800000,210000000,146900000,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960301.3,861476000
Bahrain,BHR,-182712766,619414893.6,868617021.3,-275000007.9,208244700.2,430586743.7,2048151880,329284164.2,179454413.3,453737838,363562321.9,80358858.37,216986881.6,516700276.4,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2
Bangladesh,BGD,3238781.189,1390444.322,3721853.382,14049886.52,11147788.33,1896372.127,13529831.54,139376153.1,190059373,179662970.3,280384629.7,78527040.08,52339473.35,268285231.8,448905400.7,813321971.9,697206284.1,652818718.9,1009623164,713383102.5,967645394.8
Barbados,BRB,11200000,7400000,14450000,9400000,12950000,11750000,13300000,14800000,15750000,17350000,19400000,18550000,17400000,58250000,-12100000,61959000,104795000,233205000,285843724.2,298241305.8,80000000
Belarus,BLR,,,7000000,17600000,10500000,14700000,104500000,351600000,203200000,444000000,118800000,95800000,247100000,171800000,163800000,305000000,354000000,1785200000,2180600000,1884400000,1402800000
Belgium,BEL,8046729782,9362561888,11285773370,10749950136,8513578470,10688709154,14063872384,11998296379,22690480006,1.42703E+11,2.14941E+11,73634976275,18080576796,34543942055,44415185590,33683830158,58827696333,96587921127,1.36568E+11,25306632503,62811370332
Belize,BLZ,17000000,14000000,16000000,9000000,15000000,21000000,17000000,12000000,18000000,54000000,23340762.43,61162972.87,25386719.66,-10924755.75,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08
Benin,BEN,62376777.14,120780806.6,77571726.6,1403787.184,13648839.9,13329502.12,35517375.98,27015294.53,37952254.68,39264307.43,59736541.13,43858541.8,13508119.58,44731565.66,63844349.5,53043961.76,53200470.78,255244061.2,169834987.5,134285982.5,110930000
Bermuda,BMU,,,,,,,,,,,,,,,,,171630000,176240000,52470000,35160000,404130000
Bhutan,BTN,,,,,,,,,,,,,,2530949.933,3464521.753,9000000,6122903.509,73809369.44,28687759.1,17647880.85,11690755.74
Bolivia,BOL,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5
Bosnia and Herzegovina,BIH,,,,,,,,,66736468.36,176780594.8,146075610.9,118495219.8,267769569,381784637.4,709849622.1,607810600.8,768276099.5,2070789567,981785579.3,240108839.7,231539217.4
Botswana,BWA,95889963.04,-8211493.783,-1564184.906,-286949434.1,-14154569.01,70413220.76,71182310.71,100109748.7,95318134.92,36675065.78,57176113.28,-69760471.38,731805998.3,770536365.6,748096578.5,492380720.8,750779756.7,647259027.3,895212690.2,251567485.7,529278355.3
Brazil,BRA,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,11200000000,19650000000,31913000000,28576000000,32779239700,22457353372,16590204193,10143524671,18165693855,15066291735,18782215423,34584901025,45058156304,25948579800,48437734672
Brunei Darussalam,BRN,,,,,,,,,,,,60694643.66,229671955.7,123820911.1,113205867,175068516.6,87839128.31,257635717.5,222184549.5,325586827.8,495720000
Bulgaria,BGR,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.2,818788154.9,1001503842,812942202,904659791.1,2096788700,2662208756,4312402138,7757606832,13214535612,9979109972,3389234815,2167527392
Burkina Faso,BFA,460000,570000,3113000,3178000,18372000,9817000,16225000,9766000,4407000,7926000,23219874.87,9164593.586,16063399.56,30831022.58,3829373.785,31967807.4,74224008.61,370123710.7,152465830.1,105204240.3,37127520.92
Burundi,BDI,1255434.743,892500.1067,600088.333,473679.8748,3957.848909,1981922.465,100,100,2000000,238660.3083,11683518.19,9634.452803,10.744,4618.425671,44509.03806,584331.8623,32079.83631,500060.2279,3833208.348,348729.6905,780825.7578
Cambodia,KHM,,,33000000,54124000,68900000,150800000,293600000,203700000,242822982.4,232238729.5,148503547.8,149397477,145106363.9,83980650.56,131416229.3,381180190.6,483209382.7,867288538.6,815180218,530151578.2,782597000
Cameroon,CMR,-112831336.8,-14498049.75,29203775.78,5120733.123,-9005687.522,7292420.072,101315910,78335616.3,215105209.4,-15494743.3,158801499.5,73285099.6,601746052.3,336267884.5,86122105.35,234006549.4,16383939.65,191016785.1,-24198018.82,668329441.5,-551206.6745
Canada,CAN,7580601938,2874387248,4776794694,4748859063,8223759965,9319143130,9635109106,11522842174,22742494379,24788755778,66144235753,27710977448,22053021959,7206009808,-741286941.1,25900779626,60293795010,1.17654E+11,57877416497,22464975124,23586933885
Cape Verde,CPV,0,2000000,0,4000000,2000000,26000000,29000000,12000000,9000000,53000000,33424781.97,9112802.245,14806643.96,39255246.24,67591566.44,80440643.36,131815477.7,191868198,211318796.2,119784111.2,111440809.2
Cayman Islands,CYM,49040000,-8540000,27490000,459760000,467070000,50310000,1231710000,3150870000,4354110000,6475830000,7626860000,3922820000,-195890000,-2688560000,9669090000,10221237309,14962802000,22968625125,18748999313,17878404934,12894472303
Central African Republic,CAF,697850.0651,-4874038.732,-10676567.96,-9980132.279,3602275.009,6200565.764,10925575.5,1497424.054,7602313.409,3777820.006,842725.0357,5183898.81,5600229.753,22195457.67,28583056.49,32419028.26,34615311.06,56737588.65,117119138.4,42250530.79,72035752.62
Chad,TCD,9400000,4239527.508,1960770.974,15160901.58,27074698.97,32611570.12,39466173.53,44293940.57,21696680.41,24524970.81,115172421.5,459866391.8,924119210.1,712663454.9,466793492.1,-99342519.36,-279217426.2,-69481103.44,233583814.4,461808153.1,781366889.6
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,661000000,822000000,935000000,1034000000,2583000000,2957000000,4815000000,5271000000,4628000000,8761000000,4860015668,4199763049,2549923142,4307418607,7172719415,6983801371,7298382454,12533639353,15149843109,12873916314,15094834931
China,CHN,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,44237000000,43751000000,38753000000,38399300000,44241000000,49307976629,47076718733,54936483255,1.17208E+11,1.24082E+11,1.60052E+11,1.75148E+11,1.14215E+11,1.85081E+11
Colombia,COL,500000000,456900000,728700000,959100000,1446497261,968368273.6,3111676590,5562216362,2828826262,1507907130,2436459923,2541942612,2133698124,1720493455,3015635874,10251967315,6655995311,9048747731,10596358827,7137258469,6764505639
Comoros,COM,393003.1038,2506163.334,-1446978.125,190704.7806,177714.24,889525.0177,510000,20000,384216.3907,271000,93636.1151,1145914.995,430423.4793,793760.0367,671354.3691,558643.6839,576283.6335,7522603.978,7521125.251,9089625.572,9391765.968
"Congo, Dem. Rep.",COD,-14460000,12390000,-730000,6870000,-1500000,-22350000,24790000,-44350000,61330000,11160000,72000000,80300000,141100000,391300000,409000000,,256100000,1808000000,1726800000,663800000,2939300000
"Congo, Rep.",COG,22551558.22,32753529.69,2739032.536,286054322.1,2990000,125018925.8,72579070.69,79171534.76,32777255.42,538212550.2,165904404.7,77206039.59,331150511.3,323124395.4,-8518132.494,513585519.2,1487693084,2638405260,2483223725,2083496165,2815957839
Costa Rica,CRI,163000000,178000000,226000000,247000000,298000000,337000000,427000000,408000000,613000000,619000000,408564447,460378018,659355552,575064883,793834548,861042026,1469089235,1896095297,2078238732,1346502407,1465630464
Cote d'Ivoire,CIV,48114925.54,16305875.03,-230834502,87900032.71,77989253.94,211482185.5,269180619.3,415303614.5,380014112.4,323675947.6,234701641.1,272680081.7,212629136.7,165347467.5,282979933.1,311921178,318864759.2,426777010.3,446147780.7,380872960,417933000
Croatia,HRV,,,13000000,144186480.2,114440874.4,108053139.7,492528182.7,541135803.7,940830562.2,1452386278,1109936498,1582412026,1099965085,2048805989,1078564922,1788093912,3461671522,4996124173,6023290811,2861459430,334155395.4
Cuba,CUB,1170000,9570000,7220000,2690000,12950000,5400000,19270000,1020000,15180000,8950000,-10250000,4350000,2650000,-7260000,3510000,15600000,25900000,63710476.62,24218526.34,24425873.53,85537090.9
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,126615461.4,81820990.74,107441112.7,83432989.4,75174068.6,243136818.6,233749453.8,546519214.6,345398143.2,813054280.1,854874285.7,944742874,1103449726,908147518,1118841809,1161973511,1870919582,2295454940,3887991128,5857453125,4841376877
Czech Republic,CZE,,,,654278424.7,878231739.7,2567564642,1435279128,1286492873,3700169388,6312596676,4987079129,5640707236,8496609036,2021275746,4977795183,11601978991,5521761931,10606063122,6572516198,2868850157,6720057671
Denmark,DNK,1132146350,1552515351,1017385349,1712766178,5006178362,4139423320,773444115.8,2791671359,6674661469,16847919226,36013297907,9286404806,4430703179,1184825160,-8804165491,12834261392,2419919718,11809448518,2606190097,2905204414,-680324051.9
Djibouti,DJI,,2290106.403,2290106.403,1423579.656,1423579.656,3218527.917,3263542.294,3100365.179,3173513.541,3212901.12,3286049.482,3392958.626,3432346.206,14224542.96,38543559.85,22203341.19,108287709.4,195351140.3,227654582.2,96859684.56,26800434.39
Dominica,DMA,12888888.89,15222222.22,20411111.11,13200000,22600000,54092592.59,17800000,21114814.81,6511111.111,17955555.56,17596296.3,17115925.93,20110637.04,31472140.74,26173948.15,19235559.26,25907525.93,40486774.81,56548262.96,41310355.56,30816451.85
Dominican Republic,DOM,132800000,145000000,179700000,189300000,206800000,414300000,96500000,420600000,699800000,1337800000,952900000,1079100000,916800000,612990000,909040000,1122700000,1084600000,1667400000,2870000000,2066600000,1625800000
Ecuador,ECU,126000000,160000000,178000000,473720000,576330000,452480000,499680000,723950000,869980000,648410000,-23439367.91,538568575.2,783261009.6,871513414,836939593.9,493413835.5,271428852.5,194158526.9,1000535088,316457890.1,167296320.4
"Egypt, Arab Rep.",EGY,734000000,253000000,459000000,493000000,1256000000,598000000,636000000,890550000,1076000000,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000
El Salvador,SLV,1898272.086,25180498.96,15309478.72,16432044.02,2180000,38037218.6,-4797258.709,59043540.33,1103712164,215800000,173400000,278900000,470000000,141200000,363270000,55120000,17530000,105110000,371150000,231000000,-5560000
Equatorial Guinea,GNQ,11073778.66,41324758.93,6018320.158,22301675.64,16995533.49,126924170.7,376180404.2,53451528.18,274768116.7,154296173.9,154499589.9,940741215.7,323391507.5,689779766,340914468.5,769146185.2,469506014.6,1242731087,-793872332.8,1636219625,695026126.6
Eritrea,ERI,,,,,,,36701848.96,41097917.23,148518255.4,83222078.14,27875536.94,12100000,20000000,22000000,-7870000,-1040000,450000,-110000,-233333.3333,35555.5556,
Estonia,EST,,,82271988.64,162224912.5,214426829.5,201489377.9,150222440.2,266223909.4,580524122.7,305183394.2,387310291.6,542494433,284522767,918990576.6,965817445.2,2941280720,1787438952,2720030535,1748523546,1908207586,1539110037
Ethiopia,ETH,,,170000,3500000,17210000,14140000,21930000,288490000,260670000,69980000,134640000,349400000,255000000,465000000,545100000,265111675.5,545257102.2,222000573,108537544,221459581.4,184000000
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,92000000,5000000,104000000,91000000,68000000,70000000,2000000,16000000,107000000,-33000000,591375.1146,41301661.85,30674592.44,40313853.13,250618684.7,155719937.9,412371640.5,337788300.3,309394865.7,56062327.47,128902788.6
Finland,FIN,812172838.2,-232904201.9,396369713.7,863526070.9,1495765796,1044126141,1118243130,2128500261,12028620490,4649170221,9125450413,3739441307,8275937527,3472352073,2870776242,4805667329,7723228863,12682034855,-2182439613,57675588.65,4396511400
France,FRA,13183285335,15152742090,21839501253,20754044036,15797125295,23736300874,21971888803,23047924755,29518429032,45986859387,42379454824,50342933496,49568692711,43061946522,32828926514,84996500408,71830805232,98312533686,66538138946,35121376551,33671510316
French Polynesia,PYF,,,,,,,,,,,,,10930935.86,58213238.5,6420023.009,7818937.09,30649550.54,58249411.64,13884190.29,10202291.89,26215073.27
Gabon,GAB,73457901.59,-54589233.79,126940086.2,-113715590.7,-99602904,-314523680.4,-489085742.1,-311296101.2,146627239.3,-156621952.2,-42626420.42,-89090817.7,38966226.2,157986838.3,319505685.2,242335014.4,267805315.6,269324270.3,209019550.9,32826047.36,170389956.2
"Gambia, The",GMB,14120000,10195531.9,6156983.935,11065335.21,9806615.164,7782493.872,10795382.57,11975906.29,,,,,,19092232.05,55526254.83,53650280.02,82207712.04,78095561.16,78614989.73,39447691.35,37366208.26
Georgia,GEO,,,,,,,,242500000,265300000,82300000,131100000,109800000,160211960.5,334649090.8,492329440,452752292,1170077393,1750242588,1564030345,658400605.8,814496572
Germany,DEU,3003918963,4748284117,-2117171191,401340977.3,7290396144,11985480325,6429188834,12796405657,23635840374,55906671344,2.10085E+11,26171197398,53605269463,30933978207,-9802914900,46472855678,56644168163,80592535711,4786429648,38916029096,46127366747
Ghana,GHA,14800000,20000000,22500000,125000000,233000000,106500000,120000000,81800000,167400000,243700000,165900000,89300000,58900000,136750000,139270000,144970000,636010000,855380000,1220400000,1684740000,2527350000
Gibraltar,GIB,36140000,37110000,88620000,38150000,-5620000,10780000,-21870000,126100000,-162010000,130610000,137790000,12140000,82500000,62110000,182620000,122308427.5,137187583.4,165249256.2,158756610.7,172379811.5,165461892.8
Greece,GRC,1005000000,1135000000,1144000000,977000000,981000000,1053000000,1058000000,984000000,,567300000,1083400000,1585000000,53061484.4,1331693343,2104990942,657666544.3,5400743026,1958714556,5303570431,2419299172,2250194328
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,12874074.07,15274074.07,22581481.48,20248148.15,19311111.11,19977777.78,16962962.96,33500000,48685185.19,41551851.85,37407407.41,58748148.15,54488888.89,89166666.67,65014333.33,70157129.63,89787148.15,156554796.7,142239990.7,102556363,63611797.78
Guam,GUM,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,47700000,90700000,94100000,142500000,65200000,75200000,76900000,84400000,672800000,154600000,229900000,455528171.1,110616944.8,131009111.2,296000000,508600000,591800000,745100000,753800000,600000000,686900000
Guinea,GIN,17860000,38770000,19690000,2720000,210000,769000,23774000,17301000,17810000,63452427,9942000,1677000,30000000,78966000,97900000,105000000,125000000,385900000,381880000,49820000,101350000
Guinea-Bissau,GNB,2020000,2090000,5830000,3300000,430000,40000,1030000,11479108.88,4407138.208,730876.6134,702270.8631,395613.5963,3561035.879,4005503.687,1679018.56,8692468.09,17724565.51,18768252.52,5142860.588,13958561.11,8848735.707
Guyana,GUY,7900000,12340000,146610000,69540000,106690000,74420000,59000000,52000000,44000000,46000000,67100000,56000000,43600000,26100000,30000000,76800000,102400000,152400000,168000000,144266666.7,187546666.7
Haiti,HTI,8000000,-1800000,-2200000,-2800000,-2800000,7400000,4100000,4000000,10760000,30000000,13250000,4400000,5700000,13800000,5900000,26000000,160600000,74500000,29800000,37950000,150000000
Honduras,HND,43500000,52100000,47600000,26700000,34800000,50000000,90900000,121500000,99000000,237300000,381659148.5,304242923.3,275167835.1,402779515.8,546864270.8,599757555.2,669107260.7,927540586.3,929308626.6,523219617.5,797390628.3
"Hong Kong SAR, China",HKG,,,,,,,,,14765019797,24577828058,61923897912,23776210099,9681963629,13624438415,34031595119,33617699019,45053645837,54365130315,59614391549,52395154100,68914555257
Hungary,HUN,553808992,1462141210,1479165394,2349715111,1144083870,4804151332,3288936449,4154801371,3343000955,3307673094,2770479254,3943892055,3012851828,2177247085,4281793079,7626151047,19522270605,70843211492,72256851510,3353974138,-41989243206
Iceland,ISL,22144863.13,18463875.81,-13030958.52,211107.9927,-1372728.117,-9311845.697,83362474.78,147815825.6,149750279.5,65401658.69,155328079.5,166241844.6,92576412.8,336121097.3,757018054.3,3123973353,3886145899,6879140817,1207530551,60770435.92,2949803488
India,IND,236690000,73537638.39,276512439,550370024.9,973271468.7,2143628110,2426057022,3577330042,2634651658,2168591054,3584217307,5471947158,5626039508,4322747673,5771297153,7606425242,20335947448,25482651962,43406277076,35595861689,24159180720
Indonesia,IDN,1093000000,1482000000,1777000000,2004000000,2109000000,4346000000,6194000000,4677000000,-240800000,-1865620963,-4550355286,-2977391857,145085548.7,-596923827.8,1896082770,8336257208,4914201435,6928480000,9318453650,4877369178,13303654878
"Iran, Islamic Rep.",IRN,-361950000,22590000,8500000,207550000,2000000,17000000,26000000,53000000,24000000,35000000,39000000,1084475000,3657067000,2697865000,2863388000,3135585000,1646568000,1669576000,1615449000,3016081000,3616905190
Iraq,IRQ,420000,-3000000,7780000,810000,-30000,2400000,-3899260.352,1120000,7110000,-6900000,-3140000,-6450000,-1590000,-20000,300000000,515300000,383000000,971800000,1855700000,1451500000,1426400000
Ireland,IRL,627433373.7,1356768990,1441705345,1121164197,838327712.8,1446529264,2617948456,2742865099,11034674875,18322769074,25501012792,9572506272,29477434763,22410807389,-10994234313,-30333718208,-5522990708,24580923953,-16338534064,26550868427,27084969657
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,151000000,345600000,588500000,604900000,441600000,1350300000,1397100000,1633800000,1737400000,4150000000,8047500000,1771300000,1582500000,3322000000,2946900000,4818400000,15295500000,8798100000,10874100000,4438100000,5152200000
Italy,ITA,6410685449,2400685993,3104520914,3748776013,2199180295,4841781426,3545881094,3699857612,2634605954,6942860357,13176403311,14873909553,14699160477,16537792207,16791130465,19636818499,39007009354,40042891550,-9488550842,16578680028,9599452733
